27/05/2021 07:38:35:787 [02448] | INFO  | Initializing Crosire's ReShade version '0.16.0.787' built on '2015-03-19 21:43:37' loaded from "C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\D3D11.DLL" to "C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\GTA5.exe" ...
27/05/2021 07:38:35:817 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d8.dll" ...
27/05/2021 07:38:35:817 [02448] | INFO  | > Delayed.
27/05/2021 07:38:35:817 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
27/05/2021 07:38:35:817 [02448] | INFO  | > Libraries loaded.
27/05/2021 07:38:35:817 [02448] | INFO  | > Found 9 match(es). Installing ...
27/05/2021 07:38:35:951 [02448] | INFO  | > Installed 9 hook(s).
27/05/2021 07:38:35:956 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
27/05/2021 07:38:35:956 [02448] | INFO  | > Delayed.
27/05/2021 07:38:35:956 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
27/05/2021 07:38:35:956 [02448] | INFO  | > Delayed.
27/05/2021 07:38:35:956 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
27/05/2021 07:38:35:956 [02448] | INFO  | > Delayed.
27/05/2021 07:38:35:956 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
27/05/2021 07:38:35:956 [02448] | INFO  | > Delayed.
27/05/2021 07:38:35:956 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
27/05/2021 07:38:35:956 [02448] | INFO  | > Libraries loaded.
27/05/2021 07:38:35:958 [02448] | INFO  | > Found 360 match(es). Installing ...
27/05/2021 07:38:41:216 [02448] | INFO  | > Installed 360 hook(s).
27/05/2021 07:38:41:216 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\user32.dll" ...
27/05/2021 07:38:41:216 [02448] | INFO  | > Libraries loaded.
27/05/2021 07:38:41:228 [02448] | INFO  | > Found 4 match(es). Installing ...
27/05/2021 07:38:41:285 [02448] | INFO  | > Installed 4 hook(s).
27/05/2021 07:38:41:286 [02448] | INFO  | Registering hooks for "C:\WINDOWS\system32\ws2_32.dll" ...
27/05/2021 07:38:41:286 [02448] | INFO  | > Libraries loaded.
27/05/2021 07:38:41:288 [02448] | INFO  | > Found 8 match(es). Installing ...
27/05/2021 07:38:41:402 [02448] | INFO  | > Installed 8 hook(s).
27/05/2021 07:38:41:402 [02448] | INFO  | Initialized.
27/05/2021 07:38:41:403 [02448] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\dxgi.dll" (Just loaded via 'LoadLibraryA("dxgi.dll")') ...
27/05/2021 07:38:41:404 [02448] | INFO  | > Found 3 match(es). Installing ...
27/05/2021 07:38:41:450 [02448] | INFO  | > Installed 3 hook(s).
27/05/2021 07:38:41:450 [02448] | INFO  | Redirecting 'CreateDXGIFactory({7B7166EC-21C7-44AE-B21A-C9AE321AE369}, 000000AB5BEFFB20)' ...
27/05/2021 07:38:41:451 [02448] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d3d11.dll" ...
27/05/2021 07:38:41:452 [02448] | INFO  | > Found 2 match(es). Installing ...
27/05/2021 07:38:41:452 [02448] | INFO  | > Installed 2 hook(s).
27/05/2021 07:38:41:516 [02448] | INFO  | Redirecting 'D3D11CreateDevice(0000000000000000, 1, 0000000000000000, 0, 0000000000000000, 0, 7, 0000000000000000, 000000AB5BEFFB28, 0000000000000000)' ...
27/05/2021 07:38:41:516 [02448] | INFO  | > Passing on to 'D3D11CreateDeviceAndSwapChain':
27/05/2021 07:38:41:516 [02448] | INFO  | Redirecting 'D3D11CreateDeviceAndSwapChain(0000000000000000, 1, 0000000000000000, 0, 0000000000000000, 0, 7, 0000000000000000, 0000000000000000, 0000000000000000, 000000AB5BEFFB28, 0000000000000000)' ...
27/05/2021 07:38:41:516 [02448] | INFO  | Redirecting 'CreateDXGIFactory2(2147483648, {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, 000000AB5BEFF178)' ...
27/05/2021 07:38:41:521 [02448] | INFO  | Exiting ...
27/05/2021 07:38:41:521 [02448] | INFO  | Uninstalling 392 hook(s) ...
27/05/2021 07:38:47:117 [02448] | INFO  | Exited.
